time,value
2022/9/30 0:00,0
2022/9/30 0:05,0
2022/9/30 0:10,0
2022/9/30 0:15,0
2022/9/30 0:20,0
2022/9/30 0:25,0
2022/9/30 0:30,0
2022/9/30 0:35,0
2022/9/30 0:40,0
2022/9/30 0:45,0
2022/9/30 0:50,0
2022/9/30 0:55,0
2022/9/30 1:00,0
2022/9/30 1:05,0
2022/9/30 1:10,0
2022/9/30 1:15,0
2022/9/30 1:20,0
2022/9/30 1:25,0
2022/9/30 1:30,0
2022/9/30 1:35,0
2022/9/30 1:40,0
2022/9/30 1:45,0
2022/9/30 1:50,0
2022/9/30 1:55,0
2022/9/30 2:00,0
2022/9/30 2:05,0
2022/9/30 2:10,0
2022/9/30 2:15,0
2022/9/30 2:20,0
2022/9/30 2:25,0
2022/9/30 2:30,0
2022/9/30 2:35,0
2022/9/30 2:40,0
2022/9/30 2:45,0
2022/9/30 2:50,0
2022/9/30 2:55,0
2022/9/30 3:00,0
2022/9/30 3:05,0
2022/9/30 3:10,0
2022/9/30 3:15,0
2022/9/30 3:20,0
2022/9/30 3:25,0
2022/9/30 3:30,0
2022/9/30 3:35,0
2022/9/30 3:40,0
2022/9/30 3:45,0
2022/9/30 3:50,0
2022/9/30 3:55,0
2022/9/30 4:00,0
2022/9/30 4:05,0
2022/9/30 4:10,0
2022/9/30 4:15,0
2022/9/30 4:20,0
2022/9/30 4:25,0
2022/9/30 4:30,0
2022/9/30 4:35,0
2022/9/30 4:40,0
2022/9/30 4:45,0
2022/9/30 4:50,0
2022/9/30 4:55,0
2022/9/30 5:00,0
2022/9/30 5:05,0
2022/9/30 5:10,0
2022/9/30 5:15,0
2022/9/30 5:20,0
2022/9/30 5:25,0
2022/9/30 5:30,0
2022/9/30 5:35,0
2022/9/30 5:40,0
2022/9/30 5:45,0
2022/9/30 5:50,0
2022/9/30 5:55,1.55
2022/9/30 6:00,3.4450000000000003
2022/9/30 6:05,5.34
2022/9/30 6:10,7.859999999999999
2022/9/30 6:15,11.57
2022/9/30 6:20,15.82
2022/9/30 6:25,20.69
2022/9/30 6:30,24.18
2022/9/30 6:35,28.65
2022/9/30 6:40,32.1
2022/9/30 6:45,37.71
2022/9/30 6:50,43.95
2022/9/30 6:55,48.35
2022/9/30 7:00,53.94
2022/9/30 7:05,60.33
2022/9/30 7:10,67.59
2022/9/30 7:15,72.68
2022/9/30 7:20,80.37
2022/9/30 7:25,89.49
2022/9/30 7:30,95.36
2022/9/30 7:35,101.47
2022/9/30 7:40,109.33000000000001
2022/9/30 7:45,117.65
2022/9/30 7:50,124.92
2022/9/30 7:55,134.93
2022/9/30 8:00,140.35999999999999
2022/9/30 8:05,154.81
2022/9/30 8:10,167.18
2022/9/30 8:15,144.44
2022/9/30 8:20,185.57
2022/9/30 8:25,90.13
2022/9/30 8:30,229.19
2022/9/30 8:35,233.47210526315789
2022/9/30 8:40,237.75421052631577
2022/9/30 8:45,242.0363157894737
2022/9/30 8:50,246.3184210526316
2022/9/30 8:55,250.60052631578947
2022/9/30 9:00,254.88263157894738
2022/9/30 9:05,259.1647368421053
2022/9/30 9:10,263.44684210526316
2022/9/30 9:15,267.7289474
2022/9/30 9:20,272.0110526
2022/9/30 9:25,276.29315789473685
2022/9/30 9:30,280.57526315789477
2022/9/30 9:35,284.8573684210526
2022/9/30 9:40,289.13947368421054
2022/9/30 9:45,293.42157894736846
2022/9/30 9:50,297.7036842105263
2022/9/30 9:55,301.9857894736842
2022/9/30 10:00,306.2678947368421
2022/9/30 10:05,310.55
2022/9/30 10:10,306.32
2022/9/30 10:15,310.39
2022/9/30 10:20,318
2022/9/30 10:25,122.44
2022/9/30 10:30,331.64
2022/9/30 10:35,330.06
2022/9/30 10:40,338.11
2022/9/30 10:45,344.61
